id,name,description,type,sizes,skills,species_traits,ancestry_traits,flaws,characteristics,ave_hgt_cm,ave_wgt_kg,adulthood_lifespan,languages
1,Erethi,"The Erethi are a mysterious and enigmatic species, distinguished by their pale grey skin and lightish grey hair, often cascading in untamed waves or braids. Their most striking feature, however, lies in their eyes, which commonly come in two distinct hues: a fiery orange that seems to flicker with inner intensity, or a deep, abyssal black that appears to absorb all light around them. With an aura of ancient wisdom and a demeanor veiled in secrecy, the Darkin possess an innate connection to the arcane forces of the world. Their culture is steeped in mysticism and esoteric knowledge, often shrouded in rituals and rites that date back eons. The Darkin are divided into two primary clans, each based on the color of their eyes. The Clan of Oblivion, distinguished by their profound obsidian gaze, and are renowned for their relentless pursuit of esoteric wisdom and mastery over the destructive echelons of arcane arts or combat styles. While some perceive members of the Clan of Oblivion as savages or renegades, such categorization remains subjective. Conversely, the Clan of Eclipse, bedecked with fiery amber eyes, stands as paragons of refinement and societal cohesion, driven by an unyielding quest to attain esteemed status among the diverse species of the realm.",Humanoid,"Small, Medium","7, 42","43, 189","57, 81, 19, 40, 199, 158","106, 36, 45","53, 88, 56, 190, 116, 42",180,65,"25, 350","Universal, Darkened Tongue"
2,Myconid,"In the heart of the dense, ancient forests of our fantasy world lies the vibrant and enigmatic society of the Myconid. These unique beings, known as the Myconid, are a species of sentient mushroom people whose civilization thrives amidst the towering canopies and lush undergrowth of their woodland home.
Physically, the Myconid are a Humanoid species that vary in appearance greatly, but some consistencies in the Myconid are their mushroom tops and the strangely spongy substance they're made of. Some features that Vary the most are; The height of your character, it will vary much but your height will stay within medium.
The Myconid live in close harmony with the natural world around them, their society organized into small tribal communities scattered throughout the forest. Within these tribes, roles are fluid, with individuals contributing their skills and talents to the collective well-being of the group. Myconid communities are governed by wise elders, who pass down the ancient traditions and lore of their people through oral storytelling and communal rituals.
Myconid culture revolves around their deep reverence for fungi and the interconnectedness of all living things. They believe in the sanctity of the mycelial network, a vast web of fungal threads that connects all life in the forest, from the towering trees to the tiniest insects. The Myconid view themselves as stewards of this network, responsible for maintaining balance and harmony within their ecosystem.
Despite their peaceful nature, the Myconid are not without their challenges. They must contend with threats from neighboring civilizations, as well as the ever-present dangers of the forest itself, from predatory creatures to natural disasters. However, through their resilience, ingenuity, and unwavering connection to the natural world, the Myconid endure, their society standing as a testament to the enduring power of life and growth in even the most challenging of environments.",Plant,"Small, Medium","32, 42","92, 125","86, 65, 126, 25, 124, 43","96, 195, 39","82, 123, 177, 84, 127",170,65,"12, 80","Universal, Any"
3,Halfling,"Small-statured humanoids known for their uncanny luck, resilience against poisons, and deep affinity for comfort, community, and fine cuisine.",Humanoid,Small,"13, 42","107, 21","109, 172, 79, 64, 80, 41","171, 99, 176","91, 120, 95, 33, 31, 167",90,20,"20, 150","Universal, Halfling"
4,Human,"Versatile and ambitious humanoids known for their wide range of skills and quick adaptability, often forming diverse factions and clans.",Humanoid,"Small, Medium","0, 21","68, 183","128, 70, 173, 12, 154, 129","111, 176","101, 27, 52, 119, 134, 46",175,70,"18, 100","Universal, Any"
5,Elf,"Long-lived Fey creatures known for their elegance, timeless appearance, natural resistance to charm and sleep, and deep connection to arcane and natural history.",Fey,Medium,"36, 1","62, 63","43, 107, 93, 37, 68, 129","60, 197","182, 6, 72, 8, 133, 181",180,65,"45, 900","Universal, Elvish"
6,Orc,Large and powerful humanoids with a savage appearance and deep ties to martial prowess and clan structures. They are known for their battle ferocity and formidable stature.,Humanoid,"Medium, Large","24, 9","105, 43","153, 117, 159, 15, 145, 64","11, 188, 171","14, 27, 151, 185, 152, 34",190,105,"20, 100","Universal, Orcish"
7,Dwarf,"Stocky, sturdy humanoids known for their exceptional craftsmanship, connection to the earth, and resistance to conditions. They often have deep-seated clan ties and proud lineages.",Humanoid,"Small, Medium","25, 13","174, 54","69, 64, 13, 37, 170, 43","87, 22, 188","27, 181, 66, 175, 144, 20",140,85,"30, 350","Universal, Dwarvish"
8,Mouslings,"Small, quick mammalian species with keen senses, often dwelling underground. They rely on pack mentality and resourcefulness to thrive in various environments.",Mammalian,"Tiny, Small","42, 47","103, 191","136, 155, 187, 43, 168, 178","71, 51","3, 148, 175, 167, 31, 198",70,10,"6, 60","Universal, Rodent"
9,Skarra,"Mammalian, hyena-like humanoids known for their pack structure, frenzied combat style, and nomadic, scavenging lifestyle.",Mammalian,Medium,"47, 14","136, 112","78, 139, 159, 93, 178, 97","50, 196, 188","130, 135, 14, 185, 120, 148",180,65,"8, 80","Universal, Gnollish"
10,Echotho,"Mammalian cave-dwellers known for their sophisticated blindsense and flight abilities, as well as their unique subterranean culture and robust diet.",Mammalian,"Small, Medium","32, 42","16, 137","10, 193, 150, 94, 17, 98","194, 163, 18","175, 151, 198, 2, 149, 156",140,40,"20, 120","Universal, Sonaris"
